Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,EPL,Liverpool,Virgil van Dijk,NED,DF,31.0,3.0,0.0,0.0,13.0,3.0,3.0,1.0,31.0,14.0,0.0,1.0,0.0,168.0,98.0,34.0,74.2
2022-2023,EPL,Liverpool,Fabinho,BRA,MF,28.0,11.0,0.0,0.0,53.0,24.0,0.0,5.0,37.0,38.0,0.0,0.0,0.0,180.0,30.0,21.0,58.8
2022-2023,EPL,Liverpool,Andrew Robertson,SCO,DF,28.0,3.0,0.0,0.0,22.0,10.0,7.0,195.0,18.0,21.0,0.0,0.0,0.0,174.0,22.0,24.0,47.8
2022-2023,EPL,Liverpool,Jordan Henderson,ENG,MF,32.0,2.0,0.0,0.0,18.0,9.0,3.0,45.0,21.0,23.0,0.0,0.0,0.0,163.0,11.0,10.0,52.4
2022-2023,EPL,Liverpool,Darwin Núñez,URU,FW,23.0,1.0,1.0,0.0,25.0,17.0,17.0,18.0,3.0,5.0,1.0,0.0,0.0,44.0,36.0,51.0,41.4
2022-2023,EPL,Liverpool,Harvey Elliott,ENG,"MF,FW",19.0,2.0,0.0,0.0,14.0,25.0,2.0,34.0,15.0,18.0,0.0,0.0,0.0,122.0,4.0,16.0,20.0
2022-2023,EPL,Liverpool,Ibrahima Konaté,FRA,DF,23.0,5.0,0.0,0.0,29.0,15.0,1.0,1.0,26.0,26.0,0.0,1.0,1.0,107.0,46.0,14.0,76.7
2022-2023,EPL,Liverpool,Cody Gakpo,NED,"FW,MF",23.0,0.0,0.0,0.0,26.0,33.0,8.0,17.0,4.0,15.0,1.0,0.0,0.0,57.0,26.0,24.0,52.0
2022-2023,EPL,Liverpool,Joe Gomez,ENG,DF,25.0,3.0,0.0,0.0,13.0,4.0,1.0,4.0,24.0,21.0,0.0,1.0,0.0,126.0,46.0,38.0,54.8
2022-2023,EPL,Liverpool,Thiago Alcántara,ESP,MF,31.0,2.0,0.0,0.0,18.0,25.0,0.0,3.0,21.0,24.0,0.0,1.0,0.0,111.0,14.0,24.0,36.8
2022-2023,EPL,Liverpool,Roberto Firmino,BRA,"FW,MF",30.0,0.0,0.0,0.0,9.0,6.0,5.0,12.0,7.0,12.0,0.0,0.0,0.0,64.0,15.0,30.0,33.3
2022-2023,EPL,Liverpool,Diogo Jota,POR,FW,25.0,2.0,0.0,0.0,19.0,15.0,3.0,8.0,3.0,15.0,1.0,0.0,0.0,60.0,18.0,26.0,40.9
2022-2023,EPL,Liverpool,Joël Matip,CMR,DF,30.0,3.0,0.0,0.0,10.0,5.0,1.0,1.0,21.0,8.0,0.0,0.0,1.0,78.0,25.0,23.0,52.1
2022-2023,EPL,Liverpool,Curtis Jones,ENG,MF,21.0,2.0,0.0,0.0,13.0,16.0,2.0,9.0,3.0,17.0,0.0,0.0,0.0,56.0,3.0,6.0,33.3
2022-2023,EPL,Liverpool,Luis Díaz,COL,FW,25.0,2.0,0.0,0.0,20.0,24.0,3.0,8.0,6.0,11.0,0.0,0.0,0.0,50.0,8.0,23.0,25.8
2022-2023,EPL,Liverpool,Kostas Tsimikas,GRE,DF,26.0,3.0,0.0,0.0,13.0,9.0,0.0,85.0,12.0,9.0,0.0,0.0,0.0,50.0,7.0,7.0,50.0
2022-2023,EPL,Liverpool,James Milner,ENG,"MF,DF",36.0,2.0,0.0,0.0,16.0,15.0,0.0,52.0,12.0,16.0,0.0,0.0,0.0,64.0,13.0,14.0,48.1
2022-2023,EPL,Liverpool,Stefan Bajcetic,ESP,MF,17.0,2.0,0.0,0.0,7.0,9.0,0.0,5.0,9.0,6.0,0.0,0.0,0.0,40.0,9.0,5.0,64.3
2022-2023,EPL,Liverpool,Fabio Carvalho,POR,"MF,FW",19.0,0.0,0.0,0.0,6.0,6.0,0.0,2.0,6.0,8.0,0.0,0.0,0.0,19.0,4.0,10.0,28.6
2022-2023,EPL,Liverpool,Alex Oxlade-Chamberlain,ENG,"FW,MF",28.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,20.0,1.0,4.0,20.0
2022-2023,EPL,Liverpool,Naby Keïta,GUI,MF,27.0,1.0,0.0,0.0,12.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,29.0,3.0,7.0,30.0
2022-2023,EPL,Liverpool,Caoimhín Kelleher,IRL,GK,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Liverpool,Nathaniel Phillips,ENG,DF,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,4.0,0.0,100.0
2022-2023,EPL,Liverpool,Ben Doak,SCO,FW,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,
