player,goals,goals_penalty,shots_total,shots_on_target,shots_avg_distance,shots_in_penalty_area,shots_in_goal_area,shots_in_attacking_third,shots_long_distance,shots_mid_distance,shots_short_distance,goal_volley,goals_avg_distance,goal_half_volley,goal_normal,goals_header,goals_header_%,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,up_shot_conversion_%,up_shots_on_target_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%
Johannes Geis,0,0,1,0,35.76101228992266,0,0,0,1,0,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
John Anthony Brooks,0,0,3,1,7.3935106198913445,3,0,0,0,0,3,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Jonas Hector,0,0,2,1,15.846902748019387,1,0,0,1,0,1,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Jonas Hofmann,0,0,6,4,14.522686662283038,3,0,0,1,4,1,0,0.0,0,0,0,,0.667,0.0,0.0,0.0,0.667,0.0,1.0,,,,,inf,
Jonathan Schmid,1,0,5,3,12.558703419373916,4,1,1,1,1,3,0,7.874642849044014,0,1,0,0.0,0.6,0.2,0.333,0.2,0.6,0.0,1.0,1.0,0.0,1.0,,5.0,0.0
Jonathan Tah,0,0,10,3,7.661948686638756,8,2,2,0,1,9,0,0.0,0,0,0,,0.3,0.0,0.0,0.0,0.3,0.0,1.0,,,,,inf,
Josip Drmic,0,0,4,4,0.872493420593101,4,0,0,0,0,4,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Josuha Guilavogui,0,0,7,3,25.85179358697841,4,0,0,4,2,1,0,0.0,0,0,0,,0.429,0.0,0.0,0.0,0.429,0.0,1.0,,,,,inf,
Joël Andre Job Matip,3,0,26,10,9.386089830686739,23,3,3,1,10,15,0,10.246890357994388,0,3,3,1.0,0.385,0.115,0.3,0.115,0.385,0.0,1.0,0.0,0.0,0.0,0.0,8.667,0.0
Juan Bernat Velasco,0,0,1,0,18.176083186429356,1,0,0,0,1,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
Julian Baumgartlinger,1,0,5,1,12.854806645177414,5,0,0,0,3,2,0,12.11156472137271,0,1,0,0.0,0.2,0.2,1.0,0.2,0.2,0.0,1.0,1.0,0.0,1.0,,5.0,0.0
Julian Brandt,2,0,6,5,15.051217860334555,5,0,0,2,2,2,0,15.809867957207523,0,2,0,0.0,0.833,0.333,0.4,0.333,0.833,0.0,1.0,1.0,0.0,0.5,,3.0,0.0
Julian Draxler,2,0,9,6,14.61150248094957,7,0,0,2,6,1,0,13.211284879002257,0,2,0,0.0,0.667,0.222,0.333,0.222,0.667,0.0,1.0,0.5,0.5,0.5,,4.5,0.0
Julian Korb,0,0,1,0,20.203960007879644,1,0,0,1,0,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
Julian Weigl,0,0,2,1,12.811161589014509,0,0,0,1,0,1,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
Jérôme Gondorf,0,0,3,3,1.1517895163858283,1,0,0,0,0,3,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
