player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Danny Vieira da Costa,Germany,Ingolstadt,Right Back,20.0,1529.0,3.0,2.0,"['Left Wing', 'Left Back', 'Center Forward', 'Right Back']"
Dante Bonfim da Costa Santos,Brazil,Wolfsburg,Left Center Back,24.0,2088.0,1.0,0.0,"['Center Back', 'Center Attacking Midfield', 'Left Center Back']"
Dario Kresic,Croatia,Bayer Leverkusen,Goalkeeper,1.0,46.0,0.0,1.0,['Goalkeeper']
Dario Lezcano,Paraguay,Ingolstadt,Center Forward,17.0,1246.0,2.0,12.0,"['Right Wing', 'Left Wing', 'Center Forward', 'Left Center Forward']"
David Kinsombi,Germany,Eintracht Frankfurt,"['Right Center Back', 'Center Back', 'Right Midfield']",2.0,91.0,1.0,0.0,"['Right Midfield', 'Center Back', 'Right Center Back']"
David Olatukunbo Alaba,Austria,Bayern Munich,Left Center Back,30.0,2502.0,3.0,1.0,"['Left Back', 'Center Back', 'Left Center Back']"
David Yelldell,United States of America,Bayer Leverkusen,Goalkeeper,1.0,48.0,1.0,0.0,['Goalkeeper']
David Ángel Abraham,Argentina,Eintracht Frankfurt,Left Center Back,31.0,2554.0,3.0,3.0,"['Center Attacking Midfield', 'Center Back', 'Right Center Back', 'Left Defensive Midfield', 'Left Center Back']"
Dennis Aogo,Germany,Schalke 04,Left Back,23.0,1859.0,3.0,0.0,"['Right Wing', 'Left Back', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Dennis Diekmeier,Germany,Hamburger SV,Right Back,22.0,1471.0,7.0,0.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Left Midfield', 'Right Midfield', 'Left Center Back']"
Devante James Parker,Germany,FSV Mainz 05,Left Wing,1.0,0.0,1.0,0.0,['Left Wing']
Diego Orlando Benaglio,Switzerland,Wolfsburg,Goalkeeper,21.0,1890.0,0.0,0.0,['Goalkeeper']
Djibril Sow,Switzerland,Borussia Mönchengladbach,0,0.0,0.0,0.0,0.0,[]
Dominik Kohr,Germany,Augsburg,Right Defensive Midfield,31.0,2505.0,1.0,13.0,"['Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Dominik Maroh,Slovenia,FC Köln,Right Center Back,25.0,2128.0,2.0,0.0,"['Center Attacking Midfield', 'Center Back', 'Right Center Back']"
Dominik Stroh-Engel,Germany,Darmstadt 98,Center Forward,15.0,536.0,9.0,5.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Right Midfield']"
Dominique Heintz,Germany,FC Köln,Left Center Back,33.0,2872.0,1.0,2.0,"['Left Back', 'Left Center Back']"
Dong-Won Ji,Korea (South),Augsburg,Center Attacking Midfield,21.0,822.0,14.0,4.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Center Back']"
Douglas Costa de Souza,Brazil,Bayern Munich,Left Midfield,27.0,1978.0,4.0,10.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Center Back', 'Left Midfield', 'Right Center Back', 'Left Attacking Midfield', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
