player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Aytac Sulu,568,164,387,138,43,29,2,2,0,0,0,0,62,0,0,0,323.0526527963702,36,185.0766953362724,2,2,1,0,1,0,0,0,3,3,0,568,164,387,138,43,29,2,2,0,0,0,0,62,0,0,0,323.0526527963702,36,185.0766953362724,2,2,1,0,1,0,0,0,3,3,0,0.2887323943661972,0.6813380281690141,0.24295774647887325,0.07570422535211267,0.051056338028169015,1.0,1.0,5.21052665800597,0.0,0.0,0.0,5.141019314896456,0.016129032258064516
Bas Dost,418,11,27,229,162,70,4,2,2,1,0,0,103,1,1,1,355.217974834322,48,150.70908448883213,12,5,10,0,1,5,4,0,66,65,0,418,11,27,229,162,70,4,2,2,1,0,0,103,1,1,1,355.217974834322,48,150.70908448883213,12,5,10,0,1,5,4,0,66,65,0,0.02631578947368421,0.0645933014354067,0.5478468899521531,0.3875598086124402,0.1674641148325359,0.9848484848484849,0.5,3.4487182022749705,0.009708737864077669,0.009708737864077669,0.009708737864077669,3.139772593517336,0.0970873786407767
Bastian Oczipka,991,72,341,394,256,9,69,44,25,2,6,0,404,26,6,0,3455.41123702339,261,2565.6806921784078,11,0,28,0,8,10,10,1,65,64,0,991,72,341,394,256,9,69,44,25,2,6,0,404,26,6,0,3455.41123702339,261,2565.6806921784078,11,0,28,0,8,10,10,1,65,64,0,0.07265388496468214,0.3440968718466196,0.3975782038345106,0.25832492431886983,0.009081735620585268,0.9846153846153847,0.6376811594202898,8.552998111444035,0.06435643564356436,0.01485148514851485,0.0,9.830194222905776,0.06930693069306931
Benedikt Höwedes,220,47,118,85,17,10,0,0,0,0,0,0,55,3,0,0,560.5044144151711,39,499.0557046671369,0,0,0,0,0,0,0,0,9,9,0,220,47,118,85,17,10,0,0,0,0,0,0,55,3,0,0,560.5044144151711,39,499.0557046671369,0,0,0,0,0,0,0,0,9,9,0,0.21363636363636362,0.5363636363636364,0.38636363636363635,0.07727272727272727,0.045454545454545456,1.0,,10.190989353003111,0.05454545454545454,0.0,0.0,12.796300119670178,0.0
Benjamin Gorka,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,0.0,0.0,0.0,,,,,,,,
Benjamin Henrichs,217,12,93,106,18,0,2,2,0,0,0,1,68,2,0,0,404.40164756640837,35,262.14137203041105,0,0,5,0,2,1,2,0,11,9,0,217,12,93,106,18,0,2,2,0,0,0,1,68,2,0,0,404.40164756640837,35,262.14137203041105,0,0,5,0,2,1,2,0,11,9,0,0.055299539170506916,0.42857142857142855,0.48847926267281105,0.08294930875576037,0.0,0.8181818181818182,1.0,5.947083052447182,0.029411764705882353,0.0,0.0,7.489753486583173,0.07352941176470588
Benjamin Hübner,670,138,368,244,58,36,7,3,4,2,0,0,97,0,1,1,688.8861124916078,64,514.6642351088444,1,1,4,0,1,0,3,1,12,11,0,670,138,368,244,58,36,7,3,4,2,0,0,97,0,1,1,688.8861124916078,64,514.6642351088444,1,1,4,0,1,0,3,1,12,11,0,0.20597014925373133,0.5492537313432836,0.3641791044776119,0.08656716417910448,0.05373134328358209,0.9166666666666666,0.42857142857142855,7.101918685480493,0.0,0.010309278350515464,0.010309278350515464,8.041628673575694,0.041237113402061855
Bernd Leno,153,144,153,0,0,0,0,0,0,0,0,0,75,0,0,0,487.3540247849559,50,350.1937726086506,0,0,1,0,1,0,0,0,21,21,0,153,144,153,0,0,0,0,0,0,0,0,0,75,0,0,0,487.3540247849559,50,350.1937726086506,0,0,1,0,1,0,0,0,21,21,0,0.9411764705882353,1.0,0.0,0.0,0.0,1.0,,6.498053663799412,0.0,0.0,0.0,7.003875452173012,0.013333333333333334
Borys Tashchy,73,2,9,34,30,6,2,0,2,0,0,0,21,5,0,0,145.63545089726136,12,79.48838348780848,2,1,3,0,0,2,1,0,8,6,0,73,2,9,34,30,6,2,0,2,0,0,0,21,5,0,0,145.63545089726136,12,79.48838348780848,2,1,3,0,0,2,1,0,8,6,0,0.0273972602739726,0.1232876712328767,0.4657534246575342,0.410958904109589,0.0821917808219178,0.75,0.0,6.93502147129816,0.23809523809523808,0.0,0.0,6.624031957317373,0.14285714285714285
Branimir Hrgota,80,0,4,31,45,15,6,5,1,0,0,0,28,0,2,0,105.61197256391878,15,75.22403008141916,2,0,4,0,0,0,4,3,13,11,0,80,0,4,31,45,15,6,5,1,0,0,0,28,0,2,0,105.61197256391878,15,75.22403008141916,2,0,4,0,0,0,4,3,13,11,0,0.0,0.05,0.3875,0.5625,0.1875,0.8461538461538461,0.8333333333333334,3.7718561629970995,0.0,0.07142857142857142,0.0,5.014935338761277,0.14285714285714285
Bruno Henrique Pinto,158,2,10,86,62,7,12,5,7,1,0,1,54,3,0,0,351.8890701974159,32,240.25685053563808,7,1,11,0,0,5,6,0,25,23,0,158,2,10,86,62,7,12,5,7,1,0,1,54,3,0,0,351.8890701974159,32,240.25685053563808,7,1,11,0,0,5,6,0,25,23,0,0.012658227848101266,0.06329113924050633,0.5443037974683544,0.3924050632911392,0.04430379746835443,0.92,0.4166666666666667,6.516464262915109,0.05555555555555555,0.0,0.0,7.50802657923869,0.2037037037037037
Caiuby Francisco da Silva,1388,58,198,638,552,93,75,45,30,3,8,1,434,26,14,2,3484.981509895021,253,2531.892206895685,30,11,50,0,4,17,29,5,149,143,0,1388,58,198,638,552,93,75,45,30,3,8,1,434,26,14,2,3484.981509895021,253,2531.892206895685,30,11,50,0,4,17,29,5,149,143,0,0.04178674351585014,0.14265129682997119,0.4596541786743516,0.3976945244956772,0.0670028818443804,0.959731543624161,0.6,8.029911313122168,0.059907834101382486,0.03225806451612903,0.004608294930875576,10.00747907863907,0.1152073732718894
Carlos Antonio Ascues Ávila,4,0,2,2,0,0,1,1,0,0,0,0,3,0,0,0,29.3891025243557,2,26.113434653523864,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,1,1,0,0,0,0,3,0,0,0,29.3891025243557,2,26.113434653523864,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.5,0.0,0.0,,1.0,9.796367508118566,0.0,0.0,0.0,13.056717326761932,0.0
Carlos Armando Gruezo Arboleda,24,3,3,13,8,0,0,0,0,0,0,0,7,0,0,0,15.126209263374204,4,10.336224964976557,2,0,1,0,0,0,1,0,1,1,0,24,3,3,13,8,0,0,0,0,0,0,0,7,0,0,0,15.126209263374204,4,10.336224964976557,2,0,1,0,0,0,1,0,1,1,0,0.125,0.125,0.5416666666666666,0.3333333333333333,0.0,1.0,,2.160887037624886,0.0,0.0,0.0,2.5840562412441392,0.14285714285714285
Carlos Augusto Zambrano Ochandarte,529,101,319,197,13,2,13,12,1,0,1,0,157,6,0,0,1522.5089284226267,110,1203.3758347877972,1,0,6,0,2,3,1,0,14,14,0,529,101,319,197,13,2,13,12,1,0,1,0,157,6,0,0,1522.5089284226267,110,1203.3758347877972,1,0,6,0,2,3,1,0,14,14,0,0.19092627599243855,0.6030245746691871,0.3724007561436673,0.024574669187145556,0.003780718336483932,1.0,0.9230769230769231,9.697509098233292,0.03821656050955414,0.0,0.0,10.939780316252701,0.03821656050955414
Ceyhun Gülselam,446,36,119,243,84,8,12,8,4,1,2,0,129,6,0,0,893.4811932426417,82,727.5645271335405,5,2,11,0,0,6,5,0,51,50,0,446,36,119,243,84,8,12,8,4,1,2,0,129,6,0,0,893.4811932426417,82,727.5645271335405,5,2,11,0,0,6,5,0,51,50,0,0.08071748878923767,0.26681614349775784,0.5448430493273543,0.18834080717488788,0.017937219730941704,0.9803921568627451,0.6666666666666666,6.926210800330556,0.046511627906976744,0.0,0.0,8.872738135774885,0.08527131782945736
Charles Mariano Aránguiz Sandoval,172,13,38,99,35,3,2,2,0,0,0,0,56,0,1,0,255.72922208529474,24,116.23949929876233,1,0,5,0,1,3,1,1,17,16,0,172,13,38,99,35,3,2,2,0,0,0,0,56,0,1,0,255.72922208529474,24,116.23949929876233,1,0,5,0,1,3,1,1,17,16,0,0.0755813953488372,0.22093023255813954,0.5755813953488372,0.20348837209302326,0.01744186046511628,0.9411764705882353,1.0,4.566593251523121,0.0,0.017857142857142856,0.0,4.843312470781764,0.08928571428571429
Charlison Benschop,79,1,8,39,32,1,0,0,0,0,0,0,23,0,0,0,166.57715785236255,11,98.4677687105776,2,1,8,0,1,2,5,0,12,12,0,79,1,8,39,32,1,0,0,0,0,0,0,23,0,0,0,166.57715785236255,11,98.4677687105776,2,1,8,0,1,2,5,0,12,12,0,0.012658227848101266,0.10126582278481013,0.4936708860759494,0.4050632911392405,0.012658227848101266,1.0,,7.242485124015763,0.0,0.0,0.0,8.951615337325237,0.34782608695652173
Christian Clemens,588,8,122,261,205,30,38,18,20,5,6,0,212,7,6,3,1264.4086107442029,138,964.0952531423842,9,0,17,0,1,9,7,0,81,74,0,588,8,122,261,205,30,38,18,20,5,6,0,212,7,6,3,1264.4086107442029,138,964.0952531423842,9,0,17,0,1,9,7,0,81,74,0,0.013605442176870748,0.20748299319727892,0.44387755102040816,0.3486394557823129,0.05102040816326531,0.9135802469135802,0.47368421052631576,5.964191560114164,0.0330188679245283,0.02830188679245283,0.014150943396226415,6.986197486539016,0.08018867924528301
Christian Gentner,998,49,189,537,272,40,28,20,8,2,1,0,347,26,5,0,2097.060064274468,219,1528.470024881482,7,0,16,0,1,9,6,1,109,103,0,998,49,189,537,272,40,28,20,8,2,1,0,347,26,5,0,2097.060064274468,219,1528.470024881482,7,0,16,0,1,9,6,1,109,103,0,0.04909819639278557,0.18937875751503006,0.5380761523046093,0.2725450901803607,0.04008016032064128,0.944954128440367,0.7142857142857143,6.043400761597891,0.07492795389048991,0.01440922190201729,0.0,6.979315182107224,0.04610951008645533
Christian Mathenia,115,96,115,0,0,0,0,0,0,0,0,0,52,0,0,0,323.1370149235689,40,281.26702012458486,0,0,0,0,0,0,0,0,19,19,0,115,96,115,0,0,0,0,0,0,0,0,0,52,0,0,0,323.1370149235689,40,281.26702012458486,0,0,0,0,0,0,0,0,19,19,0,0.8347826086956521,1.0,0.0,0.0,0.0,1.0,,6.214173363914787,0.0,0.0,0.0,7.031675503114622,0.0
Christian Pulisic,258,1,16,110,132,19,19,7,12,1,1,0,113,4,7,0,792.1333425991636,61,575.9866308982934,4,1,18,0,1,6,11,1,28,27,0,258,1,16,110,132,19,19,7,12,1,1,0,113,4,7,0,792.1333425991636,61,575.9866308982934,4,1,18,0,1,6,11,1,28,27,0,0.003875968992248062,0.06201550387596899,0.4263565891472868,0.5116279069767442,0.07364341085271318,0.9642857142857143,0.3684210526315789,7.010029580523572,0.035398230088495575,0.061946902654867256,0.0,9.442403785217923,0.1592920353982301
Christian Schulz,516,111,311,182,23,10,2,2,0,0,0,0,104,0,1,0,852.8333645665573,69,647.8273560310073,2,0,3,1,1,2,0,0,15,15,0,516,111,311,182,23,10,2,2,0,0,0,0,104,0,1,0,852.8333645665573,69,647.8273560310073,2,0,3,1,1,2,0,0,15,15,0,0.21511627906976744,0.6027131782945736,0.35271317829457366,0.044573643410852716,0.01937984496124031,1.0,1.0,8.200320813139975,0.0,0.009615384615384616,0.0,9.388802261318947,0.028846153846153848
Christian Träsch,914,62,289,439,186,4,43,23,20,2,3,0,353,22,2,0,2336.1543023530166,224,1722.916633746319,7,1,28,0,7,15,6,0,63,61,0,914,62,289,439,186,4,43,23,20,2,3,0,353,22,2,0,2336.1543023530166,224,1722.916633746319,7,1,28,0,7,15,6,0,63,61,0,0.06783369803063458,0.3161925601750547,0.4803063457330416,0.20350109409190373,0.00437636761487965,0.9682539682539683,0.5348837209302325,6.618000856524127,0.06232294617563739,0.0056657223796034,0.0,7.691592114938923,0.07932011331444759
Christoph Janker,96,16,42,46,8,0,1,0,1,0,0,0,24,0,0,0,175.67050714546966,10,71.45593462547968,1,0,3,0,0,2,1,0,7,7,0,96,16,42,46,8,0,1,0,1,0,0,0,24,0,0,0,175.67050714546966,10,71.45593462547968,1,0,3,0,0,2,1,0,7,7,0,0.16666666666666666,0.4375,0.4791666666666667,0.08333333333333333,0.0,1.0,0.0,7.319604464394569,0.0,0.0,0.0,7.145593462547969,0.125
Christoph Kramer,1208,41,265,561,382,47,39,21,18,1,4,0,465,15,7,4,3108.826672147221,271,2123.986847325861,6,0,57,1,8,25,24,0,114,111,0,1208,41,265,561,382,47,39,21,18,1,4,0,465,15,7,4,3108.826672147221,271,2123.986847325861,6,0,57,1,8,25,24,0,114,111,0,0.03394039735099338,0.21937086092715233,0.4644039735099338,0.3162251655629139,0.03890728476821192,0.9736842105263158,0.5384615384615384,6.685648757305851,0.03225806451612903,0.015053763440860216,0.008602150537634409,7.837589842530853,0.12258064516129032
Christoph Moritz,103,3,28,54,21,3,2,1,1,1,0,0,32,0,0,0,155.01581510979744,14,72.34030893692557,0,0,4,0,0,3,1,0,10,10,0,103,3,28,54,21,3,2,1,1,1,0,0,32,0,0,0,155.01581510979744,14,72.34030893692557,0,0,4,0,0,3,1,0,10,10,0,0.02912621359223301,0.27184466019417475,0.5242718446601942,0.20388349514563106,0.02912621359223301,1.0,0.5,4.84424422218117,0.0,0.0,0.0,5.167164924066112,0.125
Claudio Miguel Pizarro Bossio,1033,9,65,486,482,103,46,29,17,5,4,0,366,16,5,5,2074.20030239478,197,1284.1601506962022,21,6,59,0,3,23,33,3,140,138,0,1033,9,65,486,482,103,46,29,17,5,4,0,366,16,5,5,2074.20030239478,197,1284.1601506962022,21,6,59,0,3,23,33,3,140,138,0,0.008712487899322363,0.06292352371732816,0.47047434656340753,0.4666021297192643,0.09970958373668926,0.9857142857142858,0.6304347826086957,5.6672139409693445,0.04371584699453552,0.01366120218579235,0.01366120218579235,6.5185794451583865,0.16120218579234974
Cleber Janderson Pereira Reis,529,105,315,176,38,25,18,15,3,1,1,0,135,1,0,0,991.6221873023206,68,553.4376621353347,3,1,7,2,4,3,0,0,13,12,0,529,105,315,176,38,25,18,15,3,1,1,0,135,1,0,0,991.6221873023206,68,553.4376621353347,3,1,7,2,4,3,0,0,13,12,0,0.19848771266540643,0.5954631379962193,0.332703213610586,0.07183364839319471,0.04725897920604915,0.9230769230769231,0.8333333333333334,7.345349535572746,0.007407407407407408,0.0,0.0,8.138789149049039,0.05185185185185185
Clemens Fritz,1320,42,266,799,255,10,47,33,14,4,2,0,567,36,10,2,4794.936164771582,339,3382.3713079431363,15,0,53,0,8,26,19,1,89,86,0,1320,42,266,799,255,10,47,33,14,4,2,0,567,36,10,2,4794.936164771582,339,3382.3713079431363,15,0,53,0,8,26,19,1,89,86,0,0.031818181818181815,0.2015151515151515,0.6053030303030303,0.19318181818181818,0.007575757575757576,0.9662921348314607,0.7021276595744681,8.456677539279687,0.06349206349206349,0.01763668430335097,0.003527336860670194,9.977496483608071,0.09347442680776014
Daniel Baier,801,53,249,444,108,0,16,10,6,2,0,0,267,15,2,0,1610.6905715052208,155,1119.3705051527563,4,0,20,0,6,11,3,0,51,50,0,801,53,249,444,108,0,16,10,6,2,0,0,267,15,2,0,1610.6905715052208,155,1119.3705051527563,4,0,20,0,6,11,3,0,51,50,0,0.066167290886392,0.31086142322097376,0.5543071161048689,0.1348314606741573,0.0,0.9803921568627451,0.625,6.032548956948393,0.056179775280898875,0.00749063670411985,0.0,7.221745194533912,0.0749063670411985
Daniel Brosinski,788,80,306,319,163,15,28,18,10,2,5,0,268,23,7,0,2423.034879925077,152,1869.3489557041328,8,1,20,1,4,9,7,1,49,49,0,788,80,306,319,163,15,28,18,10,2,5,0,268,23,7,0,2423.034879925077,152,1869.3489557041328,8,1,20,1,4,9,7,1,49,49,0,0.10152284263959391,0.3883248730964467,0.40482233502538073,0.2068527918781726,0.01903553299492386,1.0,0.6428571428571429,9.041174925093571,0.08582089552238806,0.026119402985074626,0.0,12.298348392790347,0.07462686567164178
Daniel Caligiuri,1311,8,131,585,595,86,112,53,59,10,4,0,534,42,21,3,4177.376028983518,349,3284.7696536707267,24,3,72,0,4,27,41,8,152,148,0,1311,8,131,585,595,86,112,53,59,10,4,0,534,42,21,3,4177.376028983518,349,3284.7696536707267,24,3,72,0,4,27,41,8,152,148,0,0.006102212051868803,0.09992372234935164,0.4462242562929062,0.45385202135774216,0.06559877955758962,0.9736842105263158,0.4732142857142857,7.822801552403592,0.07865168539325842,0.03932584269662921,0.0056179775280898875,9.41194743172128,0.1348314606741573
Daniel Didavi,1122,26,126,555,441,56,36,23,13,2,4,0,428,31,6,3,2937.3213588476133,279,2300.193966874483,22,3,56,0,2,19,35,3,133,129,0,1122,26,126,555,441,56,36,23,13,2,4,0,428,31,6,3,2937.3213588476133,279,2300.193966874483,22,3,56,0,2,19,35,3,133,129,0,0.023172905525846704,0.11229946524064172,0.4946524064171123,0.393048128342246,0.049910873440285206,0.9699248120300752,0.6388888888888888,6.8629003711392835,0.07242990654205607,0.014018691588785047,0.007009345794392523,8.244422820338649,0.1308411214953271
Daniel Ginczek,319,7,9,123,187,28,21,13,8,0,0,0,85,8,5,3,605.9758868836057,51,430.71069639465975,6,0,7,0,0,2,5,0,50,47,0,319,7,9,123,187,28,21,13,8,0,0,0,85,8,5,3,605.9758868836057,51,430.71069639465975,6,0,7,0,0,2,5,0,50,47,0,0.0219435736677116,0.02821316614420063,0.38557993730407525,0.5862068965517241,0.0877742946708464,0.94,0.6190476190476191,7.1291280809835955,0.09411764705882353,0.058823529411764705,0.03529411764705882,8.445307772444309,0.08235294117647059
Daniel Schwaab,702,94,333,299,70,21,18,16,2,0,1,0,196,3,1,0,1764.651298080342,123,1378.4952319564363,2,0,7,0,2,4,1,0,27,25,0,702,94,333,299,70,21,18,16,2,0,1,0,196,3,1,0,1764.651298080342,123,1378.4952319564363,2,0,7,0,2,4,1,0,27,25,0,0.1339031339031339,0.47435897435897434,0.42592592592592593,0.09971509971509972,0.029914529914529916,0.9259259259259259,0.8888888888888888,9.0033229493895,0.015306122448979591,0.00510204081632653,0.0,11.207278308588913,0.03571428571428571
Daniel Tawiah Opare,138,5,55,52,31,2,14,6,8,3,2,0,53,5,2,0,443.43441979859773,31,358.6916314704872,1,0,6,0,2,0,4,0,6,6,0,138,5,55,52,31,2,14,6,8,3,2,0,53,5,2,0,443.43441979859773,31,358.6916314704872,1,0,6,0,2,0,4,0,6,6,0,0.036231884057971016,0.39855072463768115,0.37681159420289856,0.2246376811594203,0.014492753623188406,1.0,0.42857142857142855,8.366687166011278,0.09433962264150944,0.03773584905660377,0.0,11.570697789370556,0.11320754716981132
Danilo Teodoro Soares,35,1,8,15,12,3,2,1,1,0,0,0,11,2,0,0,69.36360059515202,6,45.1869321799675,0,0,2,0,0,1,1,0,1,1,0,35,1,8,15,12,3,2,1,1,0,0,0,11,2,0,0,69.36360059515202,6,45.1869321799675,0,0,2,0,0,1,1,0,1,1,0,0.02857142857142857,0.22857142857142856,0.42857142857142855,0.34285714285714286,0.08571428571428572,1.0,0.5,6.3057818722865475,0.18181818181818182,0.0,0.0,7.531155363327916,0.18181818181818182
Danny Latza,857,32,203,510,144,3,13,10,3,0,0,0,287,9,2,0,1869.942115444467,170,1278.7815421244443,8,0,17,0,1,9,7,0,73,69,0,857,32,203,510,144,3,13,10,3,0,0,0,287,9,2,0,1869.942115444467,170,1278.7815421244443,8,0,17,0,1,9,7,0,73,69,0,0.03733955659276546,0.23687281213535588,0.5950991831971996,0.16802800466744458,0.003500583430571762,0.9452054794520548,0.7692307692307693,6.515477754161906,0.0313588850174216,0.006968641114982578,0.0,7.522244365437907,0.059233449477351915
Danny Vieira da Costa,561,36,160,210,191,11,36,18,18,2,3,0,177,11,4,0,1447.622918988321,110,1057.2969833042584,4,0,14,1,1,4,9,1,40,39,0,561,36,160,210,191,11,36,18,18,2,3,0,177,11,4,0,1447.622918988321,110,1057.2969833042584,4,0,14,1,1,4,9,1,40,39,0,0.06417112299465241,0.28520499108734404,0.37433155080213903,0.3404634581105169,0.0196078431372549,0.975,0.5,8.178660559256052,0.062146892655367235,0.022598870056497175,0.0,9.611790757311441,0.07909604519774012
Dante Bonfim da Costa Santos,606,86,355,217,34,29,3,2,1,0,0,0,175,2,0,0,1375.2760131234643,93,891.2924306514162,0,0,2,0,1,1,0,0,24,24,0,606,86,355,217,34,29,3,2,1,0,0,0,175,2,0,0,1375.2760131234643,93,891.2924306514162,0,0,2,0,1,1,0,0,24,24,0,0.1419141914191419,0.5858085808580858,0.3580858085808581,0.056105610561056105,0.04785478547854786,1.0,0.6666666666666666,7.858720074991225,0.011428571428571429,0.0,0.0,9.58378957689695,0.011428571428571429
Dario Kresic,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,,
Dario Lezcano,924,7,44,331,549,97,40,23,17,5,7,0,276,15,10,1,1789.8805273678554,151,1279.7499819657842,38,7,58,0,3,17,38,2,129,125,0,924,7,44,331,549,97,40,23,17,5,7,0,276,15,10,1,1789.8805273678554,151,1279.7499819657842,38,7,58,0,3,17,38,2,129,125,0,0.007575757575757576,0.047619047619047616,0.3582251082251082,0.5941558441558441,0.10497835497835498,0.9689922480620154,0.575,6.485074374521215,0.05434782608695652,0.036231884057971016,0.0036231884057971015,8.475165443482014,0.21014492753623187
David Kinsombi,21,10,20,1,0,0,0,0,0,0,0,0,3,0,0,0,9.419843241871964,2,8.027004414153552,0,0,0,0,0,0,0,0,0,0,0,21,10,20,1,0,0,0,0,0,0,0,0,3,0,0,0,9.419843241871964,2,8.027004414153552,0,0,0,0,0,0,0,0,0,0,0,0.47619047619047616,0.9523809523809523,0.047619047619047616,0.0,0.0,,,3.139947747290655,0.0,0.0,0.0,4.013502207076776,0.0
David Olatukunbo Alaba,867,52,296,424,147,8,12,7,5,0,1,0,357,13,2,1,2568.7952443572763,194,1657.8614432853556,2,0,11,0,2,5,4,0,54,50,1,867,52,296,424,147,8,12,7,5,0,1,0,357,13,2,1,2568.7952443572763,194,1657.8614432853556,2,0,11,0,2,5,4,0,54,50,1,0.05997693194925029,0.3414071510957324,0.48904267589388695,0.1695501730103806,0.00922722029988466,0.9259259259259259,0.5833333333333334,7.195504886154835,0.036414565826330535,0.0056022408963585435,0.0028011204481792717,8.545677542708018,0.03081232492997199
David Ángel Abraham,682,134,412,238,32,18,9,3,6,2,0,0,142,5,0,0,1519.3588548139367,79,1027.5391136970084,1,1,8,2,3,3,2,0,18,18,0,682,134,412,238,32,18,9,3,6,2,0,0,142,5,0,0,1519.3588548139367,79,1027.5391136970084,1,1,8,2,3,3,2,0,18,18,0,0.19648093841642228,0.6041055718475073,0.3489736070381232,0.0469208211143695,0.026392961876832845,1.0,0.3333333333333333,10.699710245168568,0.035211267605633804,0.0,0.0,13.006824224012764,0.056338028169014086
Dennis Aogo,576,50,219,224,133,11,12,8,4,1,0,0,189,5,0,1,926.7134787299854,97,480.321391062732,2,0,8,1,3,2,3,0,63,59,0,576,50,219,224,133,11,12,8,4,1,0,0,189,5,0,1,926.7134787299854,97,480.321391062732,2,0,8,1,3,2,3,0,63,59,0,0.08680555555555555,0.3802083333333333,0.3888888888888889,0.2309027777777778,0.019097222222222224,0.9365079365079365,0.6666666666666666,4.903245919206272,0.026455026455026454,0.0,0.005291005291005291,4.951766918172495,0.042328042328042326
Dennis Diekmeier,444,37,159,180,105,9,14,9,5,0,0,0,153,15,2,0,1473.4436166711685,97,1193.1040579020553,4,0,17,2,4,3,10,0,29,26,0,444,37,159,180,105,9,14,9,5,0,0,0,153,15,2,0,1473.4436166711685,97,1193.1040579020553,4,0,17,2,4,3,10,0,29,26,0,0.08333333333333333,0.3581081081081081,0.40540540540540543,0.23648648648648649,0.02027027027027027,0.896551724137931,0.6428571428571429,9.63035043575927,0.09803921568627451,0.013071895424836602,0.0,12.300041834041807,0.1111111111111111
Diego Orlando Benaglio,181,170,181,0,0,0,0,0,0,0,0,0,75,0,0,0,343.8180046591949,48,264.06337972943703,0,0,0,0,0,0,0,0,34,34,0,181,170,181,0,0,0,0,0,0,0,0,0,75,0,0,0,343.8180046591949,48,264.06337972943703,0,0,0,0,0,0,0,0,34,34,0,0.9392265193370166,1.0,0.0,0.0,0.0,1.0,,4.584240062122599,0.0,0.0,0.0,5.501320411029938,0.0
Dominik Kohr,918,74,272,507,139,10,25,10,15,1,2,0,277,15,3,1,1776.404448970357,168,1297.2647583182757,3,0,21,0,5,9,7,0,81,80,0,918,74,272,507,139,10,25,10,15,1,2,0,277,15,3,1,1776.404448970357,168,1297.2647583182757,3,0,21,0,5,9,7,0,81,80,0,0.08061002178649238,0.2962962962962963,0.5522875816993464,0.1514161220043573,0.010893246187363835,0.9876543209876543,0.4,6.413012451156523,0.05415162454873646,0.010830324909747292,0.0036101083032490976,7.721814037608784,0.07581227436823104
Dominik Maroh,477,130,330,118,29,20,1,0,1,0,0,0,76,0,0,0,455.36214378986955,38,223.91875493760472,0,0,4,0,1,1,2,1,12,11,0,477,130,330,118,29,20,1,0,1,0,0,0,76,0,0,0,455.36214378986955,38,223.91875493760472,0,0,4,0,1,1,2,1,12,11,0,0.27253668763102723,0.6918238993710691,0.24737945492662475,0.06079664570230608,0.041928721174004195,0.9166666666666666,0.0,5.991607155129863,0.0,0.0,0.0,5.892598814147493,0.05263157894736842
Dominik Stroh-Engel,209,7,16,69,124,23,2,0,2,0,0,0,44,1,1,0,209.69795948338344,30,152.82166808090213,10,6,4,0,0,3,1,0,19,18,0,209,7,16,69,124,23,2,0,2,0,0,0,44,1,1,0,209.69795948338344,30,152.82166808090213,10,6,4,0,0,3,1,0,19,18,0,0.03349282296650718,0.07655502392344497,0.33014354066985646,0.5933014354066986,0.11004784688995216,0.9473684210526315,0.0,4.7658627155314415,0.022727272727272728,0.022727272727272728,0.0,5.094055602696738,0.09090909090909091
